id,asset,w,h,url
spec-09f7de96-49541,art/09f7de96-49541/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/09f7de96-49541/cover.webp
spec-0a13f03b-49907,art/0a13f03b-49907/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0a13f03b-49907/cover.webp
spec-0a5b883e-52056,art/0a5b883e-52056/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0a5b883e-52056/cover.webp
spec-0b2612a4-51436,art/0b2612a4-51436/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0b2612a4-51436/cover.webp
spec-0ba91692-52889,art/0ba91692-52889/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0ba91692-52889/cover.webp
spec-0bb4c984-51298,art/0bb4c984-51298/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0bb4c984-51298/cover.webp
spec-0bdc2cb3-51002,art/0bdc2cb3-51002/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0bdc2cb3-51002/cover.webp
spec-0c8b9ac4-51143,art/0c8b9ac4-51143/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0c8b9ac4-51143/cover.webp
spec-0cbe3ac2-50997,art/0cbe3ac2-50997/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0cbe3ac2-50997/cover.webp
spec-0ccd7ba4-49611,art/0ccd7ba4-49611/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0ccd7ba4-49611/cover.webp
spec-0d0a73f1-50110,art/0d0a73f1-50110/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0d0a73f1-50110/cover.webp
spec-0d4aa0ef-50088,art/0d4aa0ef-50088/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0d4aa0ef-50088/cover.webp
spec-0dbfe0ec-52717,art/0dbfe0ec-52717/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0dbfe0ec-52717/cover.webp
spec-0dd267a0-48733,art/0dd267a0-48733/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0dd267a0-48733/cover.webp
spec-0de05c79-54243,art/0de05c79-54243/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0de05c79-54243/cover.webp
spec-0e019adc-54248,art/0e019adc-54248/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0e019adc-54248/cover.webp
spec-0e0f5a07-51001,art/0e0f5a07-51001/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0e0f5a07-51001/cover.webp
spec-0e940bcc-50456,art/0e940bcc-50456/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0e940bcc-50456/cover.webp
spec-0e95658a-49162,art/0e95658a-49162/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0e95658a-49162/cover.webp
spec-0ed482d2-50098,art/0ed482d2-50098/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0ed482d2-50098/cover.webp
spec-0ee48ba0-49092,art/0ee48ba0-49092/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0ee48ba0-49092/cover.webp
spec-0f8d3b82-49258,art/0f8d3b82-49258/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0f8d3b82-49258/cover.webp
spec-0fa169ac-49201,art/0fa169ac-49201/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0fa169ac-49201/cover.webp
spec-10ce2e8a-53847,art/10ce2e8a-53847/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/10ce2e8a-53847/cover.webp
spec-10e0526a-49233,art/10e0526a-49233/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/10e0526a-49233/cover.webp
spec-111e4940-49127,art/111e4940-49127/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/111e4940-49127/cover.webp
spec-128ab6bf-50997,art/128ab6bf-50997/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/128ab6bf-50997/cover.webp
spec-12b8b12d-51007,art/12b8b12d-51007/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/12b8b12d-51007/cover.webp
spec-12fcf2c0-50248,art/12fcf2c0-50248/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/12fcf2c0-50248/cover.webp
spec-133248ab-49234,art/133248ab-49234/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/133248ab-49234/cover.webp
spec-137df8cc-49252,art/137df8cc-49252/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/137df8cc-49252/cover.webp
spec-13fd4fb5-49342,art/13fd4fb5-49342/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/13fd4fb5-49342/cover.webp
spec-14239cb7-48821,art/14239cb7-48821/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/14239cb7-48821/cover.webp
spec-14a7e116-52297,art/14a7e116-52297/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/14a7e116-52297/cover.webp
