id,asset,w,h,url
spec-352c73fc-46798,art/352c73fc-46798/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/352c73fc-46798/cover.webp
spec-3538aa57-39406,art/3538aa57-39406/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/3538aa57-39406/cover.webp
spec-35884dc0-39387,art/35884dc0-39387/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/35884dc0-39387/cover.webp
spec-36097b64-39404,art/36097b64-39404/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/36097b64-39404/cover.webp
spec-36205323-52290,art/36205323-52290/cover.webp,990,661,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/36205323-52290/cover.webp
spec-3715667c-39419,art/3715667c-39419/cover.webp,1800,2718,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/3715667c-39419/cover.webp
spec-38135607-39421,art/38135607-39421/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/38135607-39421/cover.webp
spec-3880af6b-54174,art/3880af6b-54174/cover.webp,1080,135,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/3880af6b-54174/cover.webp
spec-389f8275-46722,art/389f8275-46722/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/389f8275-46722/cover.webp
spec-395058d0-52320,art/395058d0-52320/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/395058d0-52320/cover.webp
spec-3971e8d2-46791,art/3971e8d2-46791/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/3971e8d2-46791/cover.webp
spec-3a7c83cc-49060,art/3a7c83cc-49060/cover.webp,1200,1600,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/3a7c83cc-49060/cover.webp
spec-3ad1cd1d-39415,art/3ad1cd1d-39415/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/3ad1cd1d-39415/cover.webp
spec-3af80ca3-46857,art/3af80ca3-46857/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/3af80ca3-46857/cover.webp
spec-3d04b8ee-49520,art/3d04b8ee-49520/cover.webp,150,300,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/3d04b8ee-49520/cover.webp
spec-3d120819-50396,art/3d120819-50396/cover.webp,1078,1079,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/3d120819-50396/cover.webp
spec-3f53d6b3-39403,art/3f53d6b3-39403/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/3f53d6b3-39403/cover.webp
spec-3fab0ade-51354,art/3fab0ade-51354/cover.webp,680,997,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/3fab0ade-51354/cover.webp
spec-3ffc1c6a-50431,art/3ffc1c6a-50431/cover.webp,538,620,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/3ffc1c6a-50431/cover.webp
spec-402bfbd7-50294,art/402bfbd7-50294/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/402bfbd7-50294/cover.webp
spec-4112fc8a-46876,art/4112fc8a-46876/cover.webp,300,400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4112fc8a-46876/cover.webp
spec-416fdf64-46703,art/416fdf64-46703/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/416fdf64-46703/cover.webp
spec-417292a0-52301,art/417292a0-52301/cover.webp,300,300,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/417292a0-52301/cover.webp
spec-41f3632a-39405,art/41f3632a-39405/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/41f3632a-39405/cover.webp
spec-42155882-42203,art/42155882-42203/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/42155882-42203/cover.webp
spec-4221a24c-46687,art/4221a24c-46687/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4221a24c-46687/cover.webp
spec-424dd21b-50393,art/424dd21b-50393/cover.webp,225,225,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/424dd21b-50393/cover.webp
spec-42758b5c-39428,art/42758b5c-39428/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/42758b5c-39428/cover.webp
spec-43243df5-46803,art/43243df5-46803/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/43243df5-46803/cover.webp
spec-43c33c39-9832,art/43c33c39-9832/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/43c33c39-9832/cover.webp
spec-449f5826-39375,art/449f5826-39375/cover.webp,1800,2718,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/449f5826-39375/cover.webp
